recording_id,duration,conversation_detected,conversation_confidence,caller_has_speech,receiver_has_speech,caller_speech_duration,receiver_speech_duration,turn_switches,snr_db
1efcf617984f55b38bb855baaace195g,14.37975,False,0.37077922077922076,False,True,0.2699999999999996,1.2993749999999995,1,78.49212646484375
9d4b3983f5e3b5a6e108e7ee42fe195q,6.60475,True,0.814693966386282,True,True,2.4806250000000007,0.405,1,100.82666015625
b136d89192aa3405e930d49e0bc4195m,20.19975,True,1.0,True,True,5.197500000000002,5.332499999999998,9,104.66424560546875
662ff37a79d402b8b9cecf5bd72d195m,9.16,False,0.2,False,True,0.0,1.198125,0,88.48408508300781
439577026d00f947173cfa2715fc195f,8.4,True,0.8169531250000016,True,True,0.3374999999999986,0.2531250000000007,1,87.83894348144531
23a5708b12becefccac0934b538b195q,39.51975,True,0.9895692307692308,True,True,15.136875000000007,7.340625000000008,15,100.9611587524414
4ee662f8454d1461e97fb8803372195n,11.59975,True,0.860699062233589,True,True,6.598124999999998,1.8056249999999998,3,100.06535339355469
91287ee26823cc6fada8fd38420e195g,17.6,True,1.0,True,True,2.6662500000000016,2.7168749999999995,5,96.06999206542969
707ba2ac9fd465fa75ee80cbc70d195f,9.28,True,0.7069979246487869,True,True,3.189374999999999,0.5906250000000011,2,98.1842041015625
f35dc3b13d7d7af4d2ad2b1ef5d4195o,9.57975,False,0.45666666666666667,True,False,7.087499999999999,0.47250000000000014,2,103.67066955566406
e7c231923336d74e1fa68ff01f8b195f,182.46,True,1.0,True,True,90.19687500000002,82.198125,63,105.39302825927734
f11c43de0bb71bcfd895e590f9ca195q,6.11975,False,0.2,False,True,0.0,1.5525000000000002,0,102.01134490966797
86c3fbd65de11f4eed7cac986819195i,14.0,False,0.2,True,False,9.551250000000001,0.0,0,102.34510803222656
7675855451909e6f7246a4f283a6195n,10.46,True,0.9102588235294116,True,True,7.171875000000002,3.1218749999999993,5,101.2581558227539
d4d9c3cffe3a5cba76f23168cb06195q,43.86,True,0.9934641350210969,True,True,10.53,23.996249999999993,10,105.486572265625
a4394614c2897821a663af15e3d2195h,18.04,True,1.0,True,True,4.691250000000002,3.3243750000000007,5,100.47354125976562
bd1e767362465bcff3c6df57ae9f195n,6.57975,False,0.2,True,False,5.8218749999999995,0.0,0,112.57091522216797
e76cca0652339812549dc1c3ff67195m,13.85975,True,0.7808762581409118,True,True,9.500625000000001,1.3499999999999985,3,97.36138916015625
788e06d06140c2155af2a01dec72195h,13.67975,True,0.7270986745213549,True,True,11.458125000000003,3.1050000000000013,3,104.37064361572266
d954d8d53baa709b9667ec6108f1195e,12.67975,False,0.2,False,False,0.0,0.0,0,78.43280792236328
078ca370556a57d71ef4d72f106c195q,3.87975,True,1.0,True,True,2.8012500000000005,1.8225000000000005,2,105.24324035644531
3813e2999602a53a1b05d76c7a5d195j,22.65975,True,0.9589436893203882,True,True,13.905,5.264999999999997,10,102.52951049804688
195d0895507705f4101e34e23d4c195g,5.73975,False,0.2,False,True,0.0,0.5062499999999996,0,88.30918884277344
6b54e6e7aff90584fd0dda4d9f10195n,165.96,True,0.7,True,True,109.70437500000004,109.70437500000004,43,102.53730773925781
fa12e23b39a272fe08aa26a5bfcd195g,164.53975,True,0.9722515833205108,True,True,109.670625,38.424375000000005,50,101.08856964111328
481f84855221f213eba52e6c3dce195q,90.07975,True,0.9723389521750746,True,True,53.44312500000002,43.23375000000003,26,101.82502746582031
a40eaf5096d814742b49c0cc6bd0195j,13.2,True,0.9131794167503766,True,True,6.108749999999999,1.5524999999999998,3,100.36598205566406
045ddd321c7000352b7212127485195j,12.92,True,0.936641834365326,True,True,1.1137499999999996,1.1474999999999955,2,101.11611938476562
97934429c0092cede0f17fa7de97195j,34.07975,True,1.0,True,True,13.854375,6.041249999999998,11,101.0927734375
5aa29dd411eec76cf0ca9e08fdd7195p,8.97975,True,1.0,True,True,1.5187499999999985,1.4850000000000008,3,103.8983154296875
adc0031af9dbfa1098673a494525195i,12.52,True,0.8638852239840912,True,True,2.4637499999999966,1.265624999999999,5,88.94786834716797
52e7974acebe574379d92c95bafc195k,14.83975,True,1.0,True,True,4.4381249999999985,2.6662500000000002,5,100.12879943847656
38e6814f069821abbb0185261ed2195n,43.272,True,0.7,True,True,32.67,32.67,13,105.33890533447266
7501eb06cb153d7fe5480fd53163195q,20.3,True,0.959775936883629,True,True,7.4081249999999965,8.555624999999997,5,105.85018920898438
afe77f6ad2b745c3150292869683195n,19.83975,True,1.0,True,True,7.121250000000003,7.053750000000001,6,108.26455688476562
09f33f9a9d894251090feae4ffb0195p,12.719375,True,0.8735180131072557,True,True,0.489374999999999,0.9956249999999969,1,83.29972076416016
958f0a6808934369e8a3aac7a887195k,63.05975,True,1.0,True,True,27.573749999999983,25.008750000000003,20,107.2067642211914
d303ce3cdb4105a6bda3f27ae143195d,11.23975,True,0.9633390134529147,True,True,3.3749999999999987,3.763124999999998,5,96.40827941894531
181abd17771c5f7032a06801abae195k,21.99975,True,1.0,True,True,7.3575000000000035,7.306875000000002,11,106.32560729980469
3ab879852a1bd6a98b192729499f195d,7.81975,False,0.2,True,False,0.9618750000000009,0.0,0,85.36581420898438
a86734df38b18c744da62343f48e195q,11.059875,False,0.5113095238095239,False,True,2.8349999999999986,0.7931250000000021,3,89.91272735595703
97e4217f02c67a63aa9dc9c76495195d,11.49975,False,0.2,False,True,0.0,1.6200000000000023,0,96.57622528076172
fe08341d5fd103ab6567b99dc2ae195g,27.43975,True,1.0,True,True,7.762500000000001,5.7375,9,103.65642547607422
482812418eb8fd6baeda76110555195q,13.0,False,0.1,False,True,0.0,0.6243749999999997,0,79.4801254272461
9b55e61f04c3b4e42e1ba44456fe195q,33.15975,True,1.0,True,True,17.92125,8.133750000000008,10,102.98225402832031
64e481ff8e787742ad6e17c640b7195h,13.95975,False,0.2,True,False,11.795625000000001,0.0,0,103.72760009765625
12e935e1883a64b376c3dc2d92b9195l,169.179875,True,1.0,True,True,65.82937500000008,95.25937499999999,42,107.99891662597656
f98099ea3aee77260980eb78316d195q,9.35975,True,0.8797852760736196,True,True,1.7887499999999994,2.7506250000000003,3,103.87298583984375
441dc53ef7adb99b01f8c9d07461195e,201.85975,True,0.8437462092244403,True,True,147.673125,22.949999999999985,39,104.45343017578125
165d008601fd01550d2692003b97195q,17.41975,False,0.5124870466321243,False,True,2.7675,6.51375,4,96.61463928222656
22deed95399ed0beba56d0376087195j,4.12,True,0.8977624309392264,True,True,3.054375000000001,2.46375,1,106.05335235595703
dad9519fb243dcf53a0d760e10ed195q,9.79975,False,0.2,False,True,0.0,0.8268750000000007,0,87.08064270019531
fe08da504dccc2c244adbc15b043195c,5.17975,True,0.7551743861375054,True,True,1.5862500000000002,0.54,1,94.17113494873047
722313d2b0d80739b06f61a2a402195e,45.27975,True,1.0,True,True,11.120624999999995,15.103124999999995,19,107.28475952148438
ae9b2ef589d54eecd3e6ff7885e7195f,22.8,True,0.8163945379298879,True,True,1.1981250000000006,9.348749999999999,4,101.7884521484375
0b71364569b6812ff6994078017a195k,44.56,True,0.827513698630137,True,True,30.796875000000007,4.623749999999998,16,104.45484161376953
8e2f964925b4abf8805ba9def3e9195g,24.759875,True,0.8556878306878307,True,True,12.7575,2.851875000000005,6,104.436767578125
6bea9341be541da16d88804921e0195j,17.93975,False,0.5146861924686192,False,True,6.024375000000004,8.06625,8,103.94538879394531
58a6b706ca6bc7a0329ed0e648a7195k,14.92,False,0.5513173652694611,False,True,2.8181249999999984,1.1643749999999995,3,97.10049438476562
f49442b8e756eaf9ba19439e730d195o,17.33975,True,0.9769429065743944,True,True,5.805,9.753749999999997,8,103.94100952148438
104eb02bb3aba8a4450215e195e6195d,6.83975,False,0.1,False,True,0.0,0.45562499999999995,0,90.7951431274414
892ea0e2fd7158f48c39e6474bf9195n,16.59975,True,0.9031965700048853,True,True,1.856250000000001,2.8856250000000028,5,96.41327667236328
8354cd75943e4b070387b954c69a195h,9.14,False,0.2,False,True,0.0,1.18125,0,97.35855865478516
93c14fe321d372028bbb61a92b02195k,4.63975,False,0.2,False,False,0.0,0.0,0,79.13031005859375
971cb4a2a0d81d6c0b5eb179b090195g,42.69975,True,0.8999485765203412,True,True,17.887499999999996,5.90625,11,92.91035461425781
e16365f1f4a0678c08374c4ebe4f195e,11.22,True,1.0,True,True,6.041250000000002,2.2781250000000006,4,101.02295684814453
adf2dbc04e828a02a3444ea8f571195n,5.832,True,0.6439999999999999,True,True,5.8218749999999995,5.8218749999999995,1,101.36071014404297
453063e4751b35fd46a4eb629ea0195p,10.2,True,1.0,True,True,3.121874999999999,3.121875000000001,4,108.97650909423828
771445c653b5ad294d4766aa6e13195g,37.82,True,1.0,True,True,11.35687500000001,6.496875000000001,9,102.4367904663086
839da9b227d27142f63493e377f8195n,30.01975,True,1.0,True,True,9.382499999999993,8.370000000000008,5,97.78616333007812
199bc054230c9b318b98ea3f520a195e,84.54,True,1.0,True,True,16.115624999999987,15.035625000000005,21,100.28717803955078
ddd7b10e40e0dfffe678f7a26707195j,21.259875,True,0.969639240506329,True,True,14.664375000000001,7.7962500000000015,8,101.61750030517578
dc66519573471b9d5bc14900b5e3195d,0.99975,False,0.0,False,False,0.0,0.286875,0,67.58155059814453
7cca611468ca2d519f3e5318d9e7195g,33.95975,True,1.0,True,True,15.136874999999996,10.648125,14,101.87239837646484
c69d8b64939e31472ba9ae44a518195j,35.73975,True,0.9904467401285582,True,True,18.376875000000002,13.094999999999999,8,103.0843734741211
cef47dfa16166a7b54cf20451b97195p,28.21975,True,1.0,True,True,7.5431250000000025,13.145624999999995,6,105.9219741821289
3e2296a3ffeaf4c729bdb8fc12ac195l,106.72,True,1.0,True,True,30.628124999999972,52.008749999999985,41,102.68497467041016
e1750030a485652f5b4e3a738151195e,9.51975,True,0.752133085464989,True,True,3.3243750000000007,0.6749999999999994,3,98.48710632324219
f460992a331c88841e6afc51fca7195f,9.72,True,0.721038961038961,True,True,6.496875000000002,1.3668750000000003,2,104.88697814941406
e7ba130720e078fd46f26e891f13195e,16.77975,False,0.4955755894590846,False,True,3.4762500000000007,1.4849999999999988,7,93.44357299804688
47009e0358e1707bd3b034beae02195l,16.63975,True,0.7894771241830065,True,True,0.9787499999999985,10.327500000000002,5,100.45570373535156
b0e5a4210458b8b9961bdcf2a6ad195e,11.57975,True,0.5946646516548285,True,True,2.193749999999999,0.8268750000000002,1,92.85874938964844
bfb2c7f8fdf69e24845a25cfd056195e,15.25975,False,0.31479999999999997,False,True,2.1093750000000018,1.3668750000000007,4,93.1643295288086
e872d26b95ad710335d087766352195f,8.76,True,0.9612916184842553,True,True,1.2993750000000013,0.995625,2,87.91886138916016
789b9a0ee216e07d21a847475bf8195d,502.13975,True,1.0,True,True,230.54624999999984,216.57375000000013,127,105.07600402832031
dd990e1046292a3be5eb4b57ab85195q,211.42,True,1.0,True,True,98.28000000000003,119.8293750000001,46,108.52203369140625
d4e7601d48f5d21efb8dd84f52d1195q,5.69975,True,0.8666953442158774,True,True,0.3881250000000005,0.607499999999999,2,99.32325744628906
1d30d74bb57d4119462b4f42543c195q,7.27975,False,0.2,False,True,0.0,2.041875,0,88.52987670898438
0dfe2bff6fa2964629c075a6f0ec195i,11.38,False,0.2,False,True,0.0,1.4006250000000007,0,91.57105255126953
